file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
F2BJRLP1,0.0,25.309125,mfa_dataset,-45.81457427894113,-45.86649739528642,3.89793929196005,8.171336574209546
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,mfa_dataset,-43.731258680555555,-53.56235063993014,3.8881896422186926,11.443148868500742
F2BJRLP3,0.0,30.7068125,mfa_dataset,-45.998336250407036,-46.89085575319686,3.659455927908461,10.329792395517677
F2BJRLP2,0.0,28.6474375,mfa_dataset,-45.439746945898776,-45.73673620903086,3.598790752102163,7.922912058235026
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,mfa_dataset,-43.23069574757869,-52.35983745868389,2.7237218302666903,11.85118774544399
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,mfa_dataset,-44.83681338595361,-50.90059185028076,2.5633459565624697,12.358243745435463
